division,town,zip,post_office,grocery,additional_amenities
1,North Adams MA,1247,TRUE,TRUE,TRUE
1,Williamstown MA,1267,TRUE,TRUE,FALSE
1,Stamford VT,5352,FALSE,TRUE,FALSE
1,Bennington VT,5201,TRUE,TRUE,TRUE
2,East Arlington,5252,TRUE,TRUE,FALSE
2,Arlington,5250,TRUE,TRUE,FALSE
2,West Wardsboro,5360,TRUE,TRUE,FALSE
3,Peru,5152,TRUE,TRUE,FALSE
3,Manchester Center,5255,TRUE,TRUE,TRUE
3,Manchester,5254,TRUE,TRUE,FALSE
4,Danby,5739,TRUE,TRUE,FALSE
4,E Wallingford,5742,TRUE,TRUE,FALSE
4,Wallingford,5773,TRUE,TRUE,FALSE
5,Cuttingsville,5738,TRUE,TRUE,FALSE
5,N Clarendon,5759,TRUE,TRUE,FALSE
5,Killington,5751,TRUE,TRUE,TRUE
5,Rutland,5701,TRUE,TRUE,TRUE
6,Chittenden,5737,TRUE,TRUE,FALSE
6,Rochester,5767,TRUE,TRUE,FALSE
6,Forest Dale,5745,TRUE,TRUE,FALSE
6,Brandon,5733,TRUE,TRUE,TRUE
7,Hancock,5748,TRUE,TRUE,FALSE
7,East Middlebury,5740,TRUE,TRUE,FALSE
7,Middlebury,5753,TRUE,TRUE,TRUE
7,Granville,5747,TRUE,TRUE,FALSE
8,Warren,5674,TRUE,TRUE,TRUE
8,Bristol Lincoln,5443,TRUE,TRUE,TRUE
8,Waitsfield,5673,TRUE,TRUE,TRUE
9,Huntington,5462,TRUE,TRUE,FALSE
9,Jonesville,5466,TRUE,FALSE,FALSE
9,Richmond,5477,TRUE,TRUE,TRUE
9,Waterbury,5676,TRUE,TRUE,TRUE
10,Underhill Center,5490,TRUE,TRUE,FALSE
10,Stowe,5672,TRUE,TRUE,TRUE
10,Morrisville,5661,TRUE,TRUE,FALSE
11,Johnson,5656,TRUE,TRUE,TRUE
11,Waterville,5492,TRUE,TRUE,FALSE
11,Eden,5652,TRUE,TRUE,FALSE
12,Lowell,5847,TRUE,TRUE,FALSE
12,Montgomery Center,5847,TRUE,TRUE,FALSE
12,Westfield,5847,TRUE,TRUE,FALSE
12,Jay,5859,TRUE,TRUE,FALSE
12,North Troy,5847,TRUE,TRUE,FALSE
12,Richford,5847,TRUE,TRUE,FALSE